episode,reward,steps,energy,charge_visits,cleaned_cells,success,epsilon,blocked,battery_dead,time_since_start_sec,episode_chunk_time_sec,stop_reason,success_rate,battery,cleaned,model_name,algorithm
180,85.1,250,250,23,44,0,0.8816,0,False,89.011,0.566,,4.0%,16/16,44/48,ddqn-no-obstacle,DDQN
181,90.1,250,250,21,45,0,0.881,0,False,89.561,0.55,,4.0%,10/16,45/48,ddqn-no-obstacle,DDQN
182,89.3,250,250,22,45,0,0.8803,0,False,90.114,0.552,,4.0%,14/16,45/48,ddqn-no-obstacle,DDQN
183,62.4,250,250,29,41,0,0.8797,0,False,90.7,0.585,,4.0%,2/16,41/48,ddqn-no-obstacle,DDQN
184,65.7,250,250,22,41,0,0.8791,0,False,91.405,0.704,,4.0%,10/16,41/48,ddqn-no-obstacle,DDQN
185,81.9,250,250,24,44,0,0.8785,0,False,92.011,0.606,,4.0%,16/16,44/48,ddqn-no-obstacle,DDQN
186,49.2,250,250,22,38,0,0.8779,0,False,92.698,0.687,,4.0%,8/16,38/48,ddqn-no-obstacle,DDQN
187,90.9,250,250,24,45,0,0.8773,0,False,93.261,0.562,,4.0%,8/16,45/48,ddqn-no-obstacle,DDQN
188,80.4,250,250,24,44,0,0.8767,0,False,93.837,0.576,,4.0%,2/16,44/48,ddqn-no-obstacle,DDQN
189,66.0,250,250,22,40,0,0.876,0,False,94.394,0.556,,4.0%,2/16,40/48,ddqn-no-obstacle,DDQN
190,95.0,250,250,27,47,0,0.8754,0,False,94.965,0.571,,4.0%,16/16,47/48,ddqn-no-obstacle,DDQN
191,76.6,250,250,21,43,0,0.8748,0,False,95.529,0.563,,4.0%,4/16,43/48,ddqn-no-obstacle,DDQN
192,91.7,250,250,32,46,0,0.8742,0,False,96.132,0.603,,4.0%,4/16,46/48,ddqn-no-obstacle,DDQN
193,83.1,250,250,21,43,0,0.8736,0,False,96.839,0.706,,4.0%,10/16,43/48,ddqn-no-obstacle,DDQN
194,81.8,250,250,27,44,0,0.873,0,False,97.415,0.576,,4.0%,2/16,44/48,ddqn-no-obstacle,DDQN
195,66.3,250,250,21,41,0,0.8724,0,False,97.992,0.576,,4.0%,16/16,41/48,ddqn-no-obstacle,DDQN
196,173.2,212,212,18,48,1,0.8718,0,False,98.542,0.55,,6.0%,16/16,48/48,ddqn-no-obstacle,DDQN
197,70.9,250,250,20,42,0,0.8711,0,False,99.144,0.601,,6.0%,2/16,42/48,ddqn-no-obstacle,DDQN
198,81.5,250,250,20,44,0,0.8705,0,False,99.732,0.588,,6.0%,6/16,44/48,ddqn-no-obstacle,DDQN
199,85.9,250,250,21,44,0,0.8699,0,False,100.398,0.665,,6.0%,12/16,44/48,ddqn-no-obstacle,DDQN
200,88.6,250,250,20,45,0,0.8693,0,False,101.031,0.633,,6.0%,10/16,45/48,ddqn-no-obstacle,DDQN
201,89.2,250,250,20,45,0,0.8687,0,False,101.613,0.581,,6.0%,16/16,45/48,ddqn-no-obstacle,DDQN
