episode,reward,steps,energy,charge_visits,cleaned_cells,success,epsilon,blocked,battery_dead,time_since_start_sec,episode_chunk_time_sec,stop_reason,success_rate,battery,cleaned,model_name,algorithm
149,98.6,250,250,23,48,1,0.9009,0,False,79.599,0.816,,2.0%,4/16,48/48,dqn-no-obstacle,DQN
150,82.7,250,250,23,44,0,0.9003,0,False,80.404,0.805,,2.0%,16/16,44/48,dqn-no-obstacle,DQN
151,71.2,250,250,21,42,0,0.8997,0,False,81.15,0.744,,2.0%,12/16,42/48,dqn-no-obstacle,DQN
152,90.9,250,250,20,46,0,0.899,0,False,81.711,0.561,,2.0%,8/16,46/48,dqn-no-obstacle,DQN
153,52.2,250,250,25,39,0,0.8984,0,False,82.341,0.629,,2.0%,16/16,39/48,dqn-no-obstacle,DQN
154,76.0,250,250,24,43,0,0.8978,0,False,83.073,0.732,,2.0%,8/16,43/48,dqn-no-obstacle,DQN
155,47.0,250,250,23,37,0,0.8971,0,False,83.848,0.774,,2.0%,14/16,37/48,dqn-no-obstacle,DQN
156,96.5,250,250,21,47,0,0.8965,0,False,84.512,0.663,,2.0%,2/16,47/48,dqn-no-obstacle,DQN
157,70.6,250,250,28,43,0,0.8959,0,False,85.121,0.609,,2.0%,14/16,43/48,dqn-no-obstacle,DQN
158,84.6,250,250,25,44,0,0.8953,0,False,85.867,0.745,,2.0%,10/16,44/48,dqn-no-obstacle,DQN
159,91.2,250,250,23,45,0,0.8946,0,False,86.657,0.789,,2.0%,12/16,45/48,dqn-no-obstacle,DQN
160,82.4,250,250,20,43,0,0.894,0,False,87.217,0.559,,2.0%,12/16,43/48,dqn-no-obstacle,DQN
161,90.9,250,250,23,45,0,0.8934,0,False,87.92,0.703,,2.0%,6/16,45/48,dqn-no-obstacle,DQN
162,78.6,250,250,19,42,0,0.8928,0,False,88.549,0.628,,2.0%,16/16,42/48,dqn-no-obstacle,DQN
163,77.9,250,250,21,43,0,0.8921,0,False,89.153,0.604,,2.0%,8/16,43/48,dqn-no-obstacle,DQN
164,101.8,250,250,20,46,0,0.8915,0,False,89.856,0.702,,2.0%,16/16,46/48,dqn-no-obstacle,DQN
165,77.2,250,250,19,43,0,0.8909,0,False,90.646,0.79,,2.0%,4/16,43/48,dqn-no-obstacle,DQN
166,54.1,250,250,21,38,0,0.8903,0,False,91.34,0.693,,2.0%,10/16,38/48,dqn-no-obstacle,DQN
167,92.5,250,250,26,47,0,0.8896,0,False,92.055,0.715,,2.0%,10/16,47/48,dqn-no-obstacle,DQN
168,92.9,250,250,23,46,0,0.889,0,False,92.826,0.77,,2.0%,14/16,46/48,dqn-no-obstacle,DQN
169,99.5,250,250,21,46,0,0.8884,0,False,93.51,0.683,,2.0%,12/16,46/48,dqn-no-obstacle,DQN
170,77.0,250,250,19,43,0,0.8878,0,False,94.245,0.735,,2.0%,6/16,43/48,dqn-no-obstacle,DQN
171,97.0,250,250,30,47,0,0.8871,0,False,95.01,0.765,,2.0%,16/16,47/48,dqn-no-obstacle,DQN
172,75.9,250,250,23,43,0,0.8865,0,False,95.618,0.607,,2.0%,12/16,43/48,dqn-no-obstacle,DQN
173,79.7,250,250,20,44,0,0.8859,0,False,96.223,0.605,,2.0%,16/16,44/48,dqn-no-obstacle,DQN
174,48.3,250,250,25,37,0,0.8853,0,False,96.787,0.563,,2.0%,16/16,37/48,dqn-no-obstacle,DQN
175,91.4,250,250,23,45,0,0.8847,0,False,97.497,0.707,,2.0%,4/16,45/48,dqn-no-obstacle,DQN
176,80.7,250,250,21,44,0,0.884,0,False,98.133,0.636,,2.0%,14/16,44/48,dqn-no-obstacle,DQN
177,92.1,250,250,21,45,0,0.8834,0,False,99.054,0.921,,2.0%,10/16,45/48,dqn-no-obstacle,DQN
178,76.6,250,250,22,44,0,0.8828,0,False,99.995,0.94,,2.0%,4/16,44/48,dqn-no-obstacle,DQN
179,90.8,250,250,21,45,0,0.8822,0,False,101.313,1.317,,2.0%,2/16,45/48,dqn-no-obstacle,DQN
180,71.2,250,250,24,41,0,0.8816,0,False,102.206,0.893,,2.0%,16/16,41/48,dqn-no-obstacle,DQN
181,74.0,250,250,28,43,0,0.881,0,False,102.891,0.685,,2.0%,16/16,43/48,dqn-no-obstacle,DQN
182,75.7,250,250,23,43,0,0.8803,0,False,103.864,0.972,,2.0%,10/16,43/48,dqn-no-obstacle,DQN
183,79.4,250,250,25,44,0,0.8797,0,False,104.584,0.719,,2.0%,2/16,44/48,dqn-no-obstacle,DQN
184,66.3,250,250,26,41,0,0.8791,0,False,105.382,0.797,,2.0%,14/16,41/48,dqn-no-obstacle,DQN
185,90.6,250,250,18,45,0,0.8785,0,False,106.137,0.755,,2.0%,4/16,45/48,dqn-no-obstacle,DQN
186,49.8,250,250,26,38,0,0.8779,0,False,106.874,0.736,,2.0%,10/16,38/48,dqn-no-obstacle,DQN
187,58.3,250,250,20,39,0,0.8773,0,False,107.551,0.676,,2.0%,4/16,39/48,dqn-no-obstacle,DQN
